time,body_id,mass,x,y,z,vx,vy,vz
120000.0,4,7.418048871488694e+24,804493155.1412187,54467751.97959821,-820826343.4353997,-306.747926853119,490.29858379919807,-362.16667335523266
120000.0,5,3.685693586328256e+24,-259292887.20631957,417062193.2374634,-641733022.1343998,101.00889384504072,281.3688030463557,-332.3192865081237
120000.0,6,6.226357146557448e+24,61406628.90425659,-568627832.592837,109942094.48190454,294.1841778462729,220.17348166623347,-603.9649603065293
120000.0,7,8.465520410768719e+24,200744444.1917552,874927783.1005449,183057615.47131056,-226.7834085055075,-31.535676518834286,-585.3940512715945
120000.0,8,6.293250332675079e+24,559960975.5542583,-143781019.31712085,-85284877.88070154,-525.5218115472215,363.75415516025663,-566.3953931144692
120000.0,9,9.6333450285479e+24,-692958609.5493395,733529773.5913411,116940658.87239125,-230.51485996888658,-594.7325163011357,-591.392166540162
130000.0,0,1.554118165150887e+23,-805634679.8189707,-158589789.53056917,-494776670.4365016,999.1927123883304,-198.83898635085657,487.03800525893985
130000.0,1,2.6523384296295672e+23,188511434.45761684,494495643.59294003,-163868180.5173238,-251.91614081911885,-227.5418178190306,-366.00901135715355
130000.0,2,9.406705410554697e+24,-694512238.3425024,-140665075.18157044,-337207797.23963004,-299.10158063820785,-197.04048138162506,-491.47684106911885
130000.0,3,3.358963612509865e+24,-723161247.1629342,487058123.98856777,-864434113.2748204,104.86098254027544,-310.55324966396324,-247.33337453874765
130000.0,4,7.418048871488694e+24,801370609.4397072,59371440.2291511,-824389842.1970445,-317.7731664426843,490.43269056512065,-350.526456424253
130000.0,5,3.685693586328256e+24,-258322353.04306775,419842964.18369967,-644987987.030426,93.10140459822945,274.77413083175196,-318.675333696874
130000.0,6,6.226357146557448e+24,64353265.304148,-566342017.9944446,103858469.89260833,295.14265003952363,237.0136489536431,-612.7663755728124
130000.0,7,8.465520410768719e+24,198430047.30738702,874554449.3431005,177167327.6532474,-236.09001032088955,-43.14794507775197,-592.6701102691594
130000.0,8,6.293250332675079e+24,554636540.312711,-140125342.99348637,-90974956.81284986,-539.3798507027275,367.3672132837056,-571.6120286490753
130000.0,9,9.6333450285479e+24,-695205434.2731078,727535277.3372147,110986728.81379445,-218.8411599445127,-604.1661019985326,-599.406956460599
140000.0,0,1.554118165150887e+23,-795085065.9699837,-160437302.7010335,-489164874.72464,1113.058802135303,-169.86104492677038,640.2500706136663
140000.0,1,2.6523384296295672e+23,185947474.77980325,492230385.79825866,-167484253.5554548,-260.86672543263916,-225.5154496277477,-357.23722191681156
140000.0,2,9.406705410554697e+24,-697452660.439822,-142577577.73896453,-342123622.424831,-289.0195671642687,-185.4576465771392,-491.76248112882627
140000.0,3,3.358963612509865e+24,-722040367.2595662,483910707.6723126,-866807658.6610624,119.32296866803166,-318.921810493697,-227.35377908453142
140000.0,4,7.418048871488694e+24,798137452.3997992,64276280.91507024,-827836737.8165417,-328.87095942750165,490.5289539039961,-338.84540545791685
140000.0,5,3.685693586328256e+24,-257430802.71336195,422557444.35318327,-648106546.2100846,85.21100665421056,268.10930473845207,-305.03666020893746
140000.0,6,6.226357146557448e+24,67309472.95626314,-563887071.5540437,97686635.00647178,296.09840636137767,254.001729324875,-621.6077863161436
140000.0,7,8.465520410768719e+24,196022753.88733986,874064488.8138895,171204079.30779895,-245.36330727622584,-54.8618518104796,-599.9867650613197
140000.0,8,6.293250332675079e+24,549173087.776772,-136433949.24335817,-96716954.91528241,-553.3260034468937,370.89717250719264,-576.7791003845532
140000.0,9,9.6333450285479e+24,-697335251.2522339,721446456.8147686,104952258.0709607,-207.1124571341379,-613.598094176895,-607.5010477425828
150000.0,0,1.554118165150887e+23,-783320175.7242203,-161967613.64765033,-481854455.1047124,1243.172953601692,-134.9482563442599,829.2792220458946
150000.0,1,2.6523384296295672e+23,183294272.05560163,489985233.5631421,-171013530.20693642,-269.7651560869741,-223.5197031596402,-348.6488600340878
150000.0,2,9.406705410554697e+24,-700293468.5693648,-144374231.5588341,-347044845.47905207,-279.19321263085146,-173.87679309845902,-492.5980688289221
